# openproj CI durations after the template cache, measured not estimated
#
# Run:     https://github.com/jcanton/openproj/actions/runs/32633361097
# Job:     check, ubuntu-latest, 2026-08-23T10:17:44Z -> 2026-08-23T10:29:52Z (728s)
# Commit:  d979881 on branch ci-speed (PR #72) — the same tree as the run in
#          ci-durations.txt plus the template-compilation cache in render.py and
#          the one regex in test_render.py.
# Command: uv run pytest -q --durations=0 --durations-min=0.05
# Result:  1687 passed, 5 warnings in 711.04s (0:11:51), against 1392.75s before.
#
# The runner, from the probe step in the same job:
#   nproc            2
#   free -m          Mem: 7942 total, 6821 available; Swap: 3071
#   df -h /dev/shm   tmpfs 3.9G
#   google-chrome    151.0.7922.137
# So `ubuntu-latest` on this PRIVATE repository is the 2-core / 8 GB box, not the
# 4-core / 16 GB one public repositories get. `-n auto` here means `-n 2`.
#
# Per-step wall clock from the jobs API (seconds):
#   Set up job 1, checkout 1, setup-uv 3, setup-node 0, uv sync 1, probe 2,
#   ruff 0, pytest 713, post steps 1. Nine seconds is still not pytest.
#
# The table below is verbatim from the run log, timestamps stripped. 732 rows
# summing to 675.79s of the 711.04s pytest reported.
#
# Phase split of those 732 rows: setup 59.26s, call 600.60s, teardown 15.93s.
# Setup was 519.23s before; 460s of it was compiling templates.
2.14s call     tests/test_cascade.py::test_every_control_on_every_page_is_drawn_the_same[create]
2.13s call     tests/test_themes.py::test_a_scheme_reaches_the_boxes_people_type_into
2.13s call     tests/test_coedit.py::test_undo_in_a_room_gives_back_your_own_last_thing_on_the_textarea
2.11s call     tests/test_coedit.py::test_an_edit_across_an_emoji_reaches_the_room_through_the_adapter[\U0001f916 written by an agent\n-\U0001f916 written by somebody\n]
2.11s call     tests/test_facets.py::test_an_open_menu_is_not_painted_over[table]
2.10s call     tests/test_cascade.py::test_every_control_on_every_page_is_drawn_the_same[table]
2.10s call     tests/test_facets.py::test_the_closed_control_says_what_is_set
2.10s call     tests/test_facets.py::test_clearing_puts_every_field_back
2.09s call     tests/test_facets.py::test_two_values_of_one_field_mean_either
2.09s call     tests/test_editor.py::test_cancel_with_a_divergent_draft_lands_on_the_stored_commit
2.09s call     tests/test_table.py::test_a_column_too_narrow_for_its_word_keeps_its_mark
2.09s call     tests/test_coedit.py::test_the_history_buttons_answer_the_keyboard_and_say_when_a_stack_is_empty
2.09s call     tests/test_coedit.py::test_an_edit_across_an_emoji_reaches_the_room_through_the_adapter[\U0001f44d done\n-\U0001f44e done\n]
2.08s call     tests/test_seats.py::test_the_next_session_is_one_seat_not_two
2.07s call     tests/test_editor.py::test_every_button_on_the_toolbar_can_be_reached_at_a_window_that_is_not_wide[500-note]
2.06s call     tests/test_editor.py::test_a_connection_that_drops_leaves_no_placeholder_and_no_sentence_that_is_still_true
2.06s call     tests/test_editor.py::test_every_button_on_the_toolbar_can_be_reached_at_a_window_that_is_not_wide[500-detail]
2.06s call     tests/test_card.py::test_a_card_at_the_edge_of_the_window_stays_inside_it
2.06s call     tests/test_editor.py::test_there_is_no_handle_where_there_is_nothing_to_divide[1400]
2.06s call     tests/test_editor.py::test_a_throttled_draft_is_still_written_before_the_tab_can_be_closed
2.06s call     tests/test_editor.py::test_a_draft_at_load_forces_a_session_and_the_room_refusal_still_fires
2.05s call     tests/test_table.py::test_an_expanded_column_is_a_way_of_reading_and_not_a_setting
